活躍治癒術,GM_AP_HEAL
風之步,SN_WINDWALK
光獵,AL_RUWACH
野蠻凶砍,WS_MELTDOWN
金錢鑄造,WS_CREATECOIN
莫納的祝福,MER_MAGNIFICAT
金屬塊製造,WS_CREATENUGGET
手推車加速,WS_CARTBOOST
攻擊塔製作,WS_SYSTEMCREATE
暗影追蹤,ST_CHASEWALK
霸王魂,ST_REJECTSWORD
背包偷竊,ST_STEALBACKPACK
急速升溫,EL_HEATER
融合試驗,CR_ALCHEMY
藥劑試驗,CR_SYNTHESISPOTION
奧義箭亂舞,CG_ARROWVULCAN
落花伴著月光下的水車小屋,CG_MOONLIT
傀儡師的把戲,CG_MARIONETTE
螺旋擊刺,LK_SPIRALPIERCE
傷害增壓,LK_HEADCRUSH
巧打,LK_JOINTBEAT
光之障壁,AL_PNEUMA
念力連擊,HW_NAPALMVULCAN
狂蓄氣,CH_SOULCOLLECT
精神撼動,PF_MINDBREAKER
速讀術,PF_MEMORIZE
薄霧牆,PF_FOGWALL
易燃之網,PF_SPIDERWEB
黑暗瞬間,ASC_METEORASSAULT
毒液製作,ASC_CDP
爸媽我愛您,WE_BABY
爸媽我想念您,WE_CALLPARENT
寶貝請來這裡,WE_CALLBABY
跑步,TK_RUN
迴旋準備,TK_READYSTORM
迴旋踢,TK_STORMKICK
砸踢準備,TK_READYDOWN
砸踢,TK_DOWNKICK
瞬間移動,AL_TELEPORT
踢準備,TK_READYTURN
轉身踢,TK_TURNKICK
還擊準備,TK_READYCOUNTER
還擊踢,TK_COUNTER
落法,TK_DODGE
飛腳踢,TK_JUMPKICK
平安的休息,TK_HPTIME
快樂的休息,TK_SPTIME
加油,TK_POWER
溫暖的風,TK_SEVENWIND
跳高,TK_HIGHJUMP
太陽和月亮和星星的感覺,SG_FEEL
太陽的溫暖,SG_SUN_WARM
月亮的溫暖,SG_MOON_WARM
星星的溫暖,SG_STAR_WARM
太陽的平安感,SG_SUN_COMFORT
傳送之陣,AL_WARP
月亮的平安感,SG_MOON_COMFORT
星星的平安感,SG_STAR_COMFORT
太陽和月亮和星星的憎惡,SG_HATE
太陽的憤怒,SG_SUN_ANGER
月亮的憤怒,SG_MOON_ANGER
星星的憤怒,SG_STAR_ANGER
太陽的祝福,SG_SUN_BLESS
月亮的祝福,SG_MOON_BLESS
星星的祝福,SG_STAR_BLESS
太陽和月亮和星星的惡魔,SG_DEVIL
永久的發展,GD_DEVELOPMENT
太陽和月亮和星星的朋友,SG_FRIEND
太陽和月亮和星星的知識,SG_KNOWLEDGE
太陽和月亮和星星的融合,SG_FUSION
鍊金術師的靈魂,SL_ALCHEMIST
菠色克投擲,AM_BERSERKPITCHER
武道家的靈魂,SL_MONK
治癒術,AL_HEAL
拳聖的靈魂,SL_STAR
賢者的靈魂,SL_SAGE
加速武器,MER_QUICKEN
十字軍的靈魂,SL_CRUSADER
超級初學者的靈魂,SL_SUPERNOVICE
騎士的靈魂,SL_KNIGHT
巫師的靈魂,SL_WIZARD
祭司的靈魂,SL_PRIEST
吟遊詩人和舞孃的靈魂,SL_BARDDANCER
灼熱地帶,EL_TROPIC
流氓的靈魂,SL_ROGUE
刺客的靈魂,SL_ASSASIN
鐵匠的靈魂,SL_BLACKSMITH
所有速度激發,BS_ADRENALINE2
獵人的靈魂,SL_HUNTER
悟靈士的靈魂,SL_SOULLINKER
凱易哲,SL_KAIZEL
凱阿希,SL_KAAHI
